文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2017-02-24,学科交叉视角下的网络舆情研究主题比较分析——以国内图书情报学和新闻传播学为例,舆情研究主题比较分析,LDA 共词聚类,"从学科交叉视角探索网络舆情在图书情报学和新闻传播学中的研究共性和差异性。以CNKI数据库中两门学科核心期刊的网络舆情研究文献为样本,在关键词规范化的基础上,一方面从微观角度结合词频和TF-IDF方法提取重要关键词,并对两门学科的关键词进行交集分析、共词聚类分析和战略坐标分析;另一方面从全局角度采用LDA模型对样本进行主题建模。然后,分别对基于共词聚类和基于LDA的热点主题划分结果进行语义关系规范和主题标识。研究发现,舆情传播与监测、高校舆情分析、危机预警与管理、政府舆情应对等是两门学科共同关注的主题,网络谣言分析、网络问政则分别是图书情报学和新闻传播学的特色研究主题。研究还发现,有部分潜在交叉主题和衍生主题在学科交叉与融合的推动下孕育而生。","[""网络舆情"",""热点主题"",""学科交叉"",""LDA"",""共词聚类""]"
2017-02-23 10:07,基于支持向量机技术的网络舆情研判,舆情特征分析,支持向量机,"支持向量机是一种基于统计学习理论的新的、非常有效的机器学习方法。针对当前网络舆情研究发展的新需要,本文提出一种基于支持向量机(SVM)的网络舆情信息采集、提取、识别、研判的方法,具有较好的泛化能力,在与神经网络方法的比较中,该方法表现出较低的漏检率、误检率和较好的鲁棒性,在网络舆情研判领域有深入研究的价值和良好的应用前景。","[""支持向量机"",""信息特征识别"",""网络舆情""]"
2017-02-18,基于改进的OLDA模型话题检测及演化分析,舆情特征分析 舆情演化分析,OLDA模型 Gibbs采样,"[目的/意义]话题检测和演化分析是网络舆情监控中的热点问题,对热点话题的检测和演化分析有助于挖掘热点话题和深入理解话题的演化趋势,并给以舆情监控者提供完整的话题演化路径和更为合理的决策意见。[方法/过程]OLDA(Online Latent Dirichlet Allocation)模型是用于挖掘热点话题和分析话题演化的工具,由于其存在新旧主题混合、冗余词较多的缺点,采用双通道模式对主题、词分布的遗传度进行改进,并给出了新的词分布计算方法。[结果/结论]提出的改进OLDA模型解决了新旧主题混合问题,降低冗余词的概率,更为明确地解释话题的含义。实验表明,改进的OLDA模型更为有效地对话题进行检测及演化分析。","[""网络舆情"",""OLDA模型"",""话题演化"",""话题检测"",""Gibbs采样"",""特征字""]"
2017-02-18,网络舆情研究视角分析,舆情研究视角分析,扎根模型,"[目的/意义]网络舆情是一个跨学科研究选题,学界从不同视角对网络舆情进行观照,并基于不同视角构建应对舆情的策略和路径。[方法/过程]运用扎根理论的分析方法,对已有的网络舆情研究视角进行比较、归类、编码和分析,总结出7个主范畴和5个核心范畴。[结果/结论]由此探究网络舆情视角研究范式,分类分析视角选择与研究对象之间的密合度及论证的优势和不足,提出未来视角研究应从共享和深度协作方面研究网络舆情,注重学科间的融合与借鉴等。","[""网络舆情"",""舆情研究"",""扎根理论"",""舆论生态""]"
2017-02-18,基于云计算的网络舆情藤蔓式串并行聚类方法研究,舆情特征分析 舆情演化分析,并行聚类,"[目的/意义]针对目前在线网络海量信息难以快速获取其舆情的问题,为有效提升舆情获取速度,提出一种基于云计算的网络舆情藤蔓式串并行聚类方法。[方法/过程]首先构建舆情文本相似性度量模型,并设计确定舆情最佳聚类阈值的方法,以度量舆情信息间的相似性及确定舆情最佳聚类阈值;然后构建舆情藤蔓式串并行聚类模型,以一个舆情主题为聚类起始,之后如藤蔓的主干自动分支和延伸样,自主扩展舆情聚类主题,并根据舆情信息间的相似性和聚类阈值聚类同主题的舆情信息;最后在舆情藤蔓式串并行聚类模型的基础上,利用云计算的并行计算能力,快速、准确地聚类各主题的舆情信息。[结果/结论]实验结果表明:该方法能快速获取网络舆情,且具有较高的舆情聚类准确度,可为在线网络舆情实时监控提供一定的方法支持。","[""在线网络舆情"",""云计算"",""文本相似性"",""藤蔓式串并行聚类""]"
2017-02-15,基于人工智能的网络舆情监管模式创新探究,舆情监管 舆情预测,人工智能,"网络的广泛性和开放性加快了各种信息的传播速度和范围,所以舆情一旦出现,便很难控制。通过将人工智能应用于网络舆情监管,完善网络舆情监管体系,使对复杂的信息处理和大数据的运算能够体现出比人类更高的速度和更准确的结果,从而提高当下社会对网络舆情控制的效率。本文基于此,阐述了人工智能应用于网络舆情监管的创新性意义,以及对智能化网络舆情监管体系的构建设想。","[""网络舆情"",""人工智能"",""网络监管""]"
2017-02-15,基于观点聚合模型的网络舆情形成与变动中的群体影响分析,舆情成因分析 舆情影响分析,观点聚合模型,"根据Weisbuch-Deffuant的社会动力学研究范式,构建观点聚合模型,进行仿真分析。通过以上的几点研究,用案例来分析网络舆情的演化。","[""网络舆情"",""群体影响"",""动力模型"",""观点聚合""]"
2017-02-10,浅谈“魏则西事件”中的动员规律与舆情应对策略,舆情应对方法,动员规律,"本文以""魏则西事件""为主要研究对象,通过梳理该事件的发展始末与走向并依据网络舆情的动员规律,分析事件发酵的关键转折点,发现了该事件的影响力经由""大V转发""""传统媒体跟进""和""上级处理""得以扩大,符合网络舆情的动员规律,而涉事方百度公司的不当应对策略也加剧了舆情的发酵,为如何处理公共突发舆情提供了经验教训。","[""“魏则西事件”"",""动员规律"",""舆情应对策略""]"
2017-02-05,基于微博的媒体奇观网络舆情热度趋势分析,舆情预测,马尔科夫链 层次分析法,"【目的/意义】新兴媒介生产的媒体奇观表现出一系列新的特征,且对社会有着更深刻的影响。针对目前媒体奇观只有定性理论研究的现状,提出了定量预测媒体奇观舆情热度发展趋势的方法。【方法/过程】首先引入层次分析法构建基于微博的媒体奇观舆情热度描述指标体系。之后在查阅大量文献的基础上,改进马尔可夫链模型,通过划分更精化的状态区间、构建状态转移矩阵、预测舆情热度趋势的步骤,以""庆安枪击案""的微博数据为实证案例进行实验。【结果/结论】结果表明,层次分析法构建舆情热度指标体系和马尔科夫链模型应用于媒体奇观舆情热度趋势预测都具有较高的可行性和准确性,进而为政府、企业和研究人员分析媒体奇观的舆情发展脉络提供新的思路和方法。","[""舆情热度"",""网络舆情"",""媒体奇观"",""马尔可夫链"",""微博"",""层次分析法""]"
2017-01-25,企业面对网络舆情的回应博弈策略研究,舆情应对方法,博弈论,"论坛、微博等网络平台已成为大众关注时事、评论热点的公共空间。它的传播速度之快以及传播范围之广对网络舆情有重大的影响。与此同时,网络媒体有倾向性的推动力将会对舆情发展的趋势产生一定的影响,因此,当企业面对网络舆情时,有效快速的回应策略将有助于挽回企业形象,减少损失。本文基于博弈论,以企业面对网络舆情为视角,建立回应博弈策略模型并分析企业回应的策略,以期对企业回应网络舆情有参考性价值。","[""网络舆情"",""博弈论"",""企业回应策略""]"
2017-01-21,大数据在舆情分析中的应用,舆情分析,大数据分析,"2011年麦肯锡发布了《大数据,下一个创新、竞争和生产力的前沿》研究报告之后,大数据概念开始风靡全球。近年来,随着国内微博、微信、娱乐网站等新媒体的兴起和发展,越来越多的民众通过互联网参与到热点话题和热门事件中。所以,通过大数据对网络舆情进行监测和分析,并对民众的态度和倾向做出准确的定位显得非常重要。该文主要通过对大数据论述、网络舆情筛选、舆情捕获存储以及数据分析,来探究大数据在舆情分析中的应用及其价值。","[""大数据"",""网络舆情"",""数据抓取"",""数据存储"",""舆情分析""]"
2017-01-17 13:47,基于可拓聚类的网络舆情演化预测研究,舆情预测,可拓聚类,"[目的/意义]网络舆情的发展动态是舆情应对的基础。[方法/过程]根据网络舆情演化的关键要素,运用了可拓聚类理论和方法对网络舆情的演化趋势进行建模并预测,通过聚类分析得到预测结果。[结果/结论]实例分析证明该方法计算简便,有较高的精确度和较强的实用性,为舆情的应对提供了理论和方法的支持。","[""网络舆情"",""可拓聚类"",""演化趋势""]"
2017-01-15,基于AHP-模糊综合分析的移动社交网络舆情预警模型研究,舆情预警,层次分析法,"移动社交网络的兴起与发展促使网络舆情在极短的时间内迅速产生与演化。为科学有效地对移动社交网络舆情进行引导和控制,在详细分析移动社交网络舆情自身特点与影响因素的基础上,将层次分析法与模糊综合分析法相结合,构建基于AHP-模糊综合分析的移动社交网络舆情预警模型。并以""8.12天津港爆炸事故""进行实证分析,最终得出该事件的预警等级为""特别严重,Ⅰ级"",这与专家对该事件预警等级的定性相吻合,从而较好说明了该模型的有效性和准确性。","[""移动社交"",""网络舆情"",""模糊综合分析"",""层次分析法"",""指标体系"",""预警模型""]"
2017-01-15,从美国大选看大数据与网络舆情研究,舆情分析,大数据分析,"2016年美国总统大选中特朗普的意外当选让传统民意调查陷入尴尬境地。在社交媒体盛行的时代,大数据方法对了解民意尤其是网络舆情似乎有着天然的优势,但是否因此可以认为民意调查的传统方法已经过时?文章从2016年美国大选出发,基于对传统民意调查方法和大数据分析优劣势的比较分析,认为在分析社会舆情时,一方面应该加快发展大数据方法以把握网民心态,另一方面也应借鉴传统民意调查方法的逻辑和抽样原则,以回应网络舆情无法囊括的群体及相关问题等。","[""美国大选"",""大数据分析"",""网络舆情""]"
2017-01-15,基于SVM与K近邻结合的网络伪舆情辨识研究,舆情分类,支持向量机 K-近邻,"针对当前网络伪舆情难以快速、有效辨识的问题,通过对网络舆情特征的分析,认为不同舆情信息反映不同舆情特征,因此辨识的本质可以看作是一个自动分类问题。构建网络伪舆情指标评价体系,提出一种基于支持向量机与K近邻结合的网络伪舆情辨识方法。实验结果表明,该方法比单纯使用支持向量机具有更高的分类精度,且较好地解决了核函数参数选择的问题。","[""网络伪舆情"",""舆情指标"",""支持向量机(SVM)"",""K-近邻分类""]"
2017-01-12 13:53,基于网络舆情的旅游餐饮价格监督机制研究--以青岛天价虾事件为例,舆情分析,文本分析,"2015年10月发生的""青岛天价虾""宰客事件在网络上引发了激烈讨论。基于""青岛天价虾""事件的300个网络文本内容分析结果显示:在旅游餐饮宰客事件中,由于政府相关部门价格监管不到位,通常会引起游客的强烈不满,进而损害景区当地政府信誉和形象。通过对网络舆情相关文本数据的挖掘和分析,提出了厘清旅游餐饮价格监督机制途径、完善旅游餐饮价格监管体系、加强旅游餐饮价格监督队伍建设、构建完善的旅游餐饮价格监督网络等对策建议。","[""网络舆情"",""旅游餐饮价格"",""监督机制"",""文本数据挖掘和分析""]"
2017-01-12 12:58,基于大数据分析的网络舆情监管预测研究,舆情监管 舆情预测,大数据分析 特征提取,"对网络舆情的准确监管和预测是实现大数据网络信息统计和调查的关键技术,在保障网络秩序稳定性方面具有重要意义。针对传统方法采用关联特征匹配方法进行舆情预测,当网络舆情数据分布广度较大、干扰较强时,存在监管预测性能差的问题。本文提出基于大数据语义特征分析提取的网络舆情监管预测算法,构建网络舆情的宽平稳时间序列模型,采用二元语义信息表达方法进行网络舆情的语义信息特征序列拟合,对网络舆情进行主题词表构建和匹配,采用大数据分析方法进行网络舆情的语义特征分析和提取,实现预测算法的改进。仿真实验表明,该方法进行网络舆情预测的准确度较高,收敛性较好,实时性较高,提高了对网络舆情的监管能力。","[""大数据"",""网络"",""语义"",""特征提取"",""舆情"",""监管预测""]"
2017-01-05,基于系统动力学的多主体回应网络舆情影响因素研究,舆情影响因素分析,动力学模型,"【目的/意义】互联网的不断发展促使网络舆情的迅速传播与演化,研究多方主体回应网络舆情的影响因素,对于探究网络舆情的形成机理、有效应对网络舆情具有重要的现实意义。【方法/过程】通过构建网络舆情回应的系统动力学模型,采用Vensim PLE软件对模型进行模拟仿真。【结果/结论】结果表明舆情事件、网民、传媒、网媒及政府这五个作用主体与网络舆情存在较强的互动关系,从事件危害程度及敏感度、网民情绪强度、媒体活跃度及政府信息公开度等影响因素进行分析,可为网络舆情的应对提供参考。","[""网络舆情"",""系统动力学"",""多主体回应"",""模型仿真""]"
2017-01-05,网络舆情治理的主体参与满意度评估体系研究,舆情治理满意度评估,德尔菲法,"【目的/意义】网络舆情治理的主体参与正在由单一转向多元,如何配置相应的指标体系考察网络舆情治理主体参与的满意度是学界必须回应的重要议题。【方法/过程】采用德尔菲法,通过两轮专家调查建立满意度的指标体系,并计算各个指标的权重。【结果/结论】验证了指标体系对政府网络舆情影响力评估的有效性,相对于定性指标,本指标更加客观、全面、高效,对于网络舆情管理具有积极意义。","[""网络舆情"",""主体参与满意度"",""指标体系"",""德尔菲法""]"
2017-01-05,基于动态博弈的媒体参与下网络舆情机制分析,舆情引导对策,动态博弈,"【目的/意义】如何理清网络舆情的传播机制,从而有效引导与管理网络行为,成为政府的重要任务。【方法/过程】针对媒体参与报道的网络舆情传播,建立了媒体与政府,网民与意见领袖的两类博弈模型,将考虑公平因素的收益函数引入博弈收益矩阵中。运用向前归纳法建立三阶段动态博弈,对媒体和意见领袖选择非子博弈完美均衡路径的具体条件进行分析,推导出收益变化率θ的阈值。【结果/结论】针对不同阈值条件下各方最优策略,给出政府应对和管理网络舆情的最优策略。","[""网络舆情"",""媒体参与"",""动态博弈""]"
2016-12-28,基于百度指数的2015年食品安全网络舆情分析,舆情分析,百度指数,"基于2015年的网络数据,利用百度指数的关注度指标对中国食品安全网络舆情进行分析,着重探讨2015年发生的""辉山乳业""、""诺如病毒""与""僵尸肉""三个典型食品安全事件网络舆情热度在时间与空间维度上的变化特点,并在此基础上提出食品安全网络舆情的干预措施,为监管部门完善食品安全网络舆情管理提供科学依据。","[""食品安全"",""网络舆情"",""百度指数""]"
2016-12-25,网络舆情中的怪波现象与数学建模,舆情传播中的怪波现象,Kdv方程,"通过统计微博热门话题的阅读量和相关微博数,发现网络舆情热点问题中存在怪波(Rogue Wave)现象,其特点为形成迅速、波幅巨大、持续时间短、对其他话题有排他性。利用Kd V方程及其怪波解讨论怪波的形成机制和演变趋势,为网络舆情监测、控制提供相应的理论基础和对策建议。","[""微博"",""网络舆情"",""KdV方程"",""怪波""]"
2016-12-20,网络舆情的传播模型研究综述,舆情传播规律,传播模型,"随着网络媒体的蓬勃发展以及网民规模的不断扩大,网络舆情的重要性日趋凸显。在识别、评估、处置网络舆情态势的工作中,第一步就是科学建立可尽可能全面反映网络舆情的传播模型。本文对网络舆情传播模型的研究进行了较为全面的梳理和回顾。其关注点主要集中在传播模型的生成演化机制、网络结构影响力研究及其相关应用。针对信息传播模型的宏观分析和微观观测,积累了不少研究成果,但是存在传播基础理论与量化实践分析结合不紧密的问题。一种基于综合集成研讨厅的人机结合的信息传播模型建模,既具备具体问题具体分析的微观专用性,也具备适用于多种不同关注角度的广泛通用性,将对网络舆情全方位建模、综合分析提供新的方法。","[""网络舆情"",""传播模型"",""舆情分析""]"
2016-12-15,突发事件网络舆情传播的实证研究,舆情传播规律,社会网络分析,"[目的/意义]探索突发事件舆情传播网络的拓扑结构和传播规律、识别与评判突发事件舆情传播网络中重要节点,有助于从源头上控制舆情,增强公众、政府和媒体引导突发事件网络舆情的能力。[方法/过程]以""魏则西事件""为实证研究对象、采集并整理数据,基于社会网络分析理论,运用Ucinet软件构建互动关系矩阵模型和Netdraw软件绘制该事件舆情传播网络社群图,从整体、局部和个体3个视角进行了该舆情传播网络结构测度分析。[结果/结论]拓展了SNA的应用,从本质上揭示了突发事件网络舆情传播的结构特征与演变规律,总结并提出针对其本身拓扑结构的控制建议,最后,为从源头上弱化其不可控性,分别提出了公众、政府和媒体突发事件网络舆情传播的引导建议。","[""社会网络分析"",""突发事件"",""网络舆情"",""传播"",""实证研究"",""魏则西事件""]"
2016-12-15,基于数学建模的我国网民情感文献计量分析,网民情感分析,Citespace,"本文以中国知网CNKI的网民情感文献作为数据来源,综合运用了文献增长定律、洛特卡定律、齐夫定律、布拉德福定律等对文献进行了定量的计量分析。同时,利用CitespaceⅢ软件的聚类优势,对文献作者与文献关键词进行了较为深入的研究,形成主题词之间共现分析的科学知识图谱。研究结果表明,我国网民情感研究正处于上升的成长阶段,对于网民情感的量化研究应该更加科学化与系统化,未来将有更多相关研究的趋势。","[""网民情感"",""文献计量"",""Citespace"",""数学模型"",""网络舆情""]"
2016-12-15,政府相关网络舆情事件评估模型研究,舆情分析,快速搜索技术,"运用热点舆情事件快速搜索技术,提出舆情指标体系;采用改进的证据推理方式,建立政府相关网络舆情评估模型。通过实验验证该模型的效果和应用范围。","[""网络舆情"",""证据推理"",""政府决策"",""大数据""]"
2016-12-15,动态时间分布LDA的网络舆情热点词链提取研究,舆情热点采集,LDA模型,"由于网络舆情文本的数据量非常大,用人工方式很难从舆情文本中发现舆情热点。利用LDA(Latent Dirichlet Allocation)主题模型的文本降维及词语聚类功能,能够从海量的舆情文本中自动提取所关注的焦点主题词。但由于缺乏动态的时间分布机制,LDA难以捕捉随时间变化的热点词链。本文提出了加入动态时间层的DTD-LDA(Dynamic Time Distribution LDA)模型,增加了文档-时间和时间-主题的动态分布机制,改善了LDA主题词对时间变化的敏感性,可以有效提取迅速变化的舆情文本热点词链。实验表明,DTD-LDA相比较同类模型,在动态热点词链的提取上具有更好的准确率和召回率。","[""网络舆情"",""主题模型"",""LDA模型"",""热点词链"",""动态时间分布""]"
2016-12-15,基于改进RBF神经网络的微博舆情预测研究,舆情预测,RBF神经网络 万有引力算法,"互联网的飞跃发展,既孕育着机遇,同时也带来了前所未有的挑战。网络舆情的特点使其成为一把双刃剑。为此,本文通过对微博文本的获取与处理,得到关于该微博热门话题的基于时间序列的离散数据序列,然后采用万有引力算法优化的RBF神经网络对微博舆情进行预测。通过微博舆情的时间序列进行实证研究,在预测性能上与现有的预测模型进行对比,证明该模型在该预测领域的可行性和有效性。","[""RBF神经网络"",""微博舆情"",""万有引力算法"",""预测模型""]"
2016-12-14 15:16,主题事件舆情指数的构建及实证研究——以食品安全主题为例,舆情特征分析,层次分析法,"首先,文章针对目前网络舆情指标体系构建中存在的问题,认为基于事件主题构建舆情指数具有重要意义;其次,结合以往指标体系构建相关研究,从曝光程度、参与程度、舆情观点、网站特点、传播进度5个维度构建了主题事件舆情指标体系;最后,基于主题事件类指标体系,以食品安全为例,通过层次分析法得出舆情指标的权重,构建了舆情指数模型,并基于该指数对食品安全舆情风险进行了实证研究。","[""主题事件"",""网络舆情"",""指标体系"",""层次分析法""]"
2016-12-14 15:16,基于系统动力学的网络舆情演进机理及影响力研究,舆情演化分析,动力学模型,"在分析网民作用、传播媒介及政府相关部门对网络舆情演进及网络舆情影响力作用的基础上,结合系统动力学和传播学的相关理论,分析了网络舆情影响力,研究其形成机制和影响因素,并构建网络舆情演进的系统动力学模型,利用Vensim PLE软件对模型进行仿真,探究了网民作用量子系统、传播媒介子系统及政府相关部门子系统对网络舆情演进及网络舆情影响力的作用。","[""系统动力学"",""网络舆情"",""舆情演进"",""仿真""]"
2016-12-10,基于AHP的网络舆情安全与监测模型的研究与建立,舆情监测,层次分析法,"为了更加准确和方便地对网络舆情进行监测,提出了一种基于层次分析法的网络舆情安全与监测的模型。该模型利用要素型指标和量化型指标相结合的形式,分级对网络舆情进行判断。在量化型指标体系方面,并利用粗糙集理论对指标进行简化,通过层次分析法获得的权重和Sigmoid函数对监测指标进行量化计算,最终确定舆论信息的影响力。","[""网络舆情"",""层次分析法"",""粗糙集理论"",""Sigmoid函数""]"
2016-12-10,面向网络舆情监测的新闻主题分类实证分析,舆情特征分析 舆情演化分析,实证分析,"本文采用由面到点、逐步聚焦的方法探讨了面向网络舆情监测的新闻主题分类、网民的关注焦点和网民对事件的情感倾向问题,对这些问题的研究对网络舆情管理将产生积极作用。","[""网络舆情"",""主题分类"",""关注焦点"",""情感倾向""]"
2016-12-10,网络舆情监控过程中微博文本分类处理的实现方法,舆情监控,文本分析,"分析了微博短文本的专有特征,介绍了微博短文本的预处理流程。以新浪微博为网络舆情数据获取平台,简述了微博文本分类处理实现过程,基于Hadoop进行了网络舆情微博分类设计,为网络舆情监控任务的完成做数据依据。","[""网络舆情"",""微博文本"",""预处理""]"
2016-12-09 15:00,混合神经网络的高校网络舆情预测模型研究,舆情预测,神经网络 混沌理论,"为了对高校大学生群体性事件网络舆情进行准确预测并作正确引导,提出一种基于改进粒子群算法的混合神经网络(HANN)的高校网络舆情的发展趋势预测模型.HANN首先采用自适应调整策略和混沌理论对粒子群算法进行改进得到改进粒子群算法(CSA-PSO),再通过CSA-PSO算法训练径向基人工神经网络(RBF ANN)得到;RBF ANN的结点个数通过试探法确定.通过实例测试和与其它模型比较实验,结果表明所提出的HANN方法具有较高的预测精确,综合性能较好.","[""网络舆情"",""群体性事件"",""神经网络"",""混沌理论"",""自适应调整策略""]"
2016-12-08,网络群体性事件舆情预警评价模型,舆情预警,模糊评价,"针对网络舆情热度趋势的特征,本文通过舆情预警级别评估指标体系的构建,使用模糊综合评价作为模型的评价方法。主要对评价因素体系的确定以及权重的主客观结合计算方法进行详细的分析,并实例分析对该模型进行论证。","[""网络舆情"",""舆情预警"",""模糊数学"",""综合评价""]"
2016-12-05,基于组合预测的网络舆情数据预测模型研究,舆情预测,logistic 模型 组合预测,"针对网络舆情传播过程中引导与监督不及时的现状,通过组合预测模型,将常用的数据预测模型Logistic模型、指数平滑法模型和灰色GM(1,1)模型结合在一起,利用AHP法进行权重赋值,得出最优化网络舆情数据的预测值。并通过案例进行比较分析,对于网络舆情管控,维护社会稳定具有重要作用。","[""组合预测"",""网络舆情"",""Logistic模型""]"
2016-11-25,基于支持向量机的网络舆情危机预警探究,舆情预警,支持向量机 聚类分析,"针对信息化条件下的网络舆情分析需要,结合计算机理论,提出一种基于支持向量机算法的网络舆情预警模型。利用层次聚类算法对爬行器搜集到的数据进行预处理,从而提高数据的质量;结合网络舆情的相关预警指标,利用灰色理论模型构建网络舆情预测模型,并通过SVM支持向量机对预测的结果进行修正。最后通过仿真测试,与传统的预测模型相比,该算法具有较高的精确度。","[""支持向量机"",""舆情危机"",""预警"",""聚类算法"",""网络爬行器""]"
2016-11-20,基于BP神经网络的突发事件网络谣言危机预警,舆情预警,BP,"伴随突发事件产生的网络舆情往往容易异化为形式多样的网络谣言,损害政府形象的同时也增加了突发事件应对难度。对突发事件中的网络谣言进行风险评估是政府应对网络舆情危机管理的重要难题。在构建网络谣言预警指标体系的基础上,将BP神经网络模型用于网络谣言危机预警,进而实现突发事件网络谣言风险的定量评判。通过计算机模拟仿真实验,结合""和颐酒店女生遇袭事件""案例对该模型进行分析和验证。结论表明,将BP神经网络用于突发事件网络谣言危机预警是可行的,预警分级结果便于政府进行网络谣言的治理,对于减轻民众恐慌情绪和增强政府公信力有一定作用。","[""应急管理"",""网络谣言"",""BP神经网络"",""网络舆情"",""危机预警"",""公共管理""]"
2016-11-15,网络舆情研究新路径:大数据技术辅助网络内容挖掘与分析,舆情研究新路径,指导研究方式,"国内的舆情分析研究文献显示,舆情主要涵盖分析社会的现实和变动的状况,包括引发的事件本身及相关舆论生成的因素推论。针对当前网络舆情研究缺乏对舆情本质的理解和系统的分析框架,分析结果亦只依据描述性统计来作出等缺憾,提出一种全新的网络舆情研究路径,以覆盖度、测量和解释为网络舆情挖掘三大要素,搭建以人机结合的网络舆情大数据分析平台,即利用机器学习和网络挖掘技术初步概览舆情面貌,再以人工在线内容分析方法深度挖掘和解释舆情事件。将以具体案例说明此路径的实用性和可操作性。","[""网络舆情"",""大数据技术"",""网络挖掘"",""机器学习"",""内容分析""]"
2016-11-15,可视化分析技术在网络舆情研究中的应用,舆情与可视化,数据可视化,"由于网络舆情信息具有明显的大数据特征,使用传统的数据收集、分析与表现方法不仅存在效率低下的问题,而且难以发现其中的关键信息以及信息背后的潜在特征。就此而言,发端于科学计算领域的可视化分析技术能够化繁为简,用易于理解的图形图像揭示网络舆情的分布、发展和演化规律,因而在网络舆情研究中具有非常显著的应用价值。本文根据网络舆情信息呈现形式上的差异,分别探讨了层次信息、文本信息和关系网络信息可视化方法在网络舆情研究中的应用范式和实现途径,以期推进网络舆情研究的纵深化。","[""可视化分析"",""网络舆情"",""大数据""]"
2016-11-15,基于话题特征词的情感倾向性研究,舆情分析,PLSA模型,"面对民众观点日益沸腾的互联网时代,如何理解网络舆情的倾向性,并且对舆情加以合理的引导是一个日益重要的课题。本文利用PLSA模型对不同时间段上的网络舆情话题进行子话题提取,采用基于How Net的语义相似度模型对相应的子话题进行情感分析,通过与阈值的比较得出该话题的褒贬程度。","[""话题特征词"",""PLSA模型"",""语义相似度"",""情感倾向性""]"
2016-11-14 14:53,突发事件网络舆情扩散的政府应对仿真描述--基于三方博弈视角,舆情传播规律,三方博弈,"本文将三方博弈理论引入BA无标度网络,构建了基于多主体的网络舆情演化模型。模型以三方博弈过程为基础设定交互规则,由网民、网媒和政府及其交互规则组成。将政府舆情应对效果的主要影响因素和应对效果映射为模型中的参数,设计实验方案,通过对比分析得到实验结论,进而从政府角度提出舆情应对建议,最后指出本研究的不足和未来的研究方向。","[""网络舆情"",""三方博弈"",""BA网络"",""政府应对""]"
2016-11-10,基于CSSCI的我国网络舆情领域知识图谱研究,舆情知识图谱,指导研究方向,"以2011—2015年间CSSCI数据库收录的网络舆情领域的相关文献信息为数据源,借助文献可视化分析软件CiteSpaceⅢ绘制出我国网络舆情领域的核心作者、核心机构、关键词共现网络、研究前沿知识图谱,通过图谱直观展示了我国网络舆情的研究现状,得出网络舆情在不同时期的研究热点,揭示了我国网络舆情研究的发展与演进,并通过时区视图中词频变动和频次探究出我国网络舆情领域的研究前沿,旨在为今后我国网络舆情的深入研究提供借鉴。","[""CSSCI"",""网络舆情"",""知识图谱"",""CiteSpace""]"
2016-11-10,高校互联网研究热点领域构成及变化——基于2000-2015年CNKI数据库文献的关键词共词分析,舆情分析,关键词共词分析,"为更客观地理解近年来高校互联网研究热点的领域构成和变化,为今后研究提供可行性建议,采用关键词共词分析法对2000-2015年CNKI数据库的7228篇文献进行了热点知识图谱绘制。研究发现,高校互联网研究各个时段均由三大领域构成,但领域热点变化较为明显:初期主要关注互联网时代高校图书馆建设,中期主要关注互联网环境下高校思想政治工作,后期主要关注新媒体下网络舆情与高校思想政治教育研究。后继研究者可以通过以下途径提高研究质量:凝练高校互联网思想政治研究的主题,注重研究方法和技术手段的提升,组建国家层面的高校互联网思想政治研究虚拟团队等。","[""高校"",""互联网"",""研究热点"",""关键词共词分析""]"
2016-11-05,国内网络舆情治理研究的可视化分析——基于科学知识图谱的方法(CNKI),舆情应对方法,数据可视化 突变词监测,"当前,网络舆情已经成为了公共管理学、情报学、新闻传播学等学科研究的热点主题。为了促进国内网络舆情治理知识的增长及对实践治理发展更好地反馈,有必要对其研究发展脉络进行总结、梳理,以及时进行必要的反思、展望。以2006-2015年CNKI期刊全文数据库中的核心期刊和CSSCI来源期刊收录的736篇国内网络舆情治理研究论文为样本,采用文献计量学分析方法,利用引文网络分析工具CiteSpaceⅣ绘制科学知识图谱,得出2006-2015年国内网络舆情研究的热点研究主题及重要前沿趋势。结果表明网络舆论监督的生成机制及其应对机制是最重要的热点主题,而在当今媒体大发展的时代背景下,网络谣言引导研究、新媒体研究则共同成为重要的研究前沿。","[""网络舆情"",""舆论监督"",""国家治理体系"",""CiteSpace"",""突变词检测""]"
2016-11-02 11:13,网络舆情研究路径分析,舆情研究路径探讨,指导研究方向,"当前网络舆情研究已进入饱和阶段,应积极探索新的研究路径:""维权""新理念使网络舆情研究视角由以政府为主体的维稳转向以公众为主体的维权,""维安""新角度使网络舆情研究拓展至社会安全、政治安全、文化安全、经济安全等领域,大数据将促使网络舆情研究转向全数据、多向维度、舆情预测等方面,网络传播环境的变化(如微信的出现)将为网络舆情研究提供新的课题,新理论(如社会沟通理论的移植)可为网络舆情研究注入新的活力。","[""网络舆情"",""舆情研究"",""研究路径""]"
2016-11-01,数据挖掘技术在网络舆情管理中的研究,舆情管理,数据挖掘,"目前,随着海量网络舆情成指数增加,传统的数据处理技术不支持对海量舆情潜在信息的发现与挖掘,无法找到舆情信息之间的规则或关系,不能根据舆情现状预测未来发展趋势。在这种形势下,非常有必要把数据挖掘技术应用到网络舆情管理中,充分发挥数据挖掘的具体优势,从而实现对网络舆情的及时发现、快速分析、准确追踪和理性引导。","[""数据挖掘"",""网络舆情"",""研究""]"
